,Gathering samples,Gathering labels,Predictions,Evaluation
0,0.0,0.0,1.2544090747833252,0.0
1,0.0,0.0,0.04101896286010742,0.0
2,0.0010001659393310547,0.0,0.03900885581970215,0.0
3,0.0010001659393310547,0.0,0.04300069808959961,0.0
4,0.001009225845336914,0.0,0.045001983642578125,0.0
5,0.0009992122650146484,0.0,0.0400087833404541,0.0
6,0.0010094642639160156,0.0,0.03899955749511719,0.0
7,0.0,0.0,0.043020009994506836,0.0
8,0.0,0.0,0.05300140380859375,0.0
9,0.001001119613647461,0.0,0.04600977897644043,0.0
10,0.001001596450805664,0.0,0.048009634017944336,0.0
11,0.0,0.0,0.06252241134643555,0.0
12,0.0,0.0,0.047095537185668945,0.0009987354278564453
13,0.0,0.0,0.04190683364868164,0.0010004043579101562
14,0.0,0.0,0.03916478157043457,0.0
15,0.0,0.0,0.04201459884643555,0.0
16,0.00099945068359375,0.0,0.04000997543334961,0.0
17,0.0,0.0,0.04300880432128906,0.0
18,0.0,0.0,0.04103207588195801,0.0
19,0.0009908676147460938,0.0,0.04501938819885254,0.0
20,0.0,0.0,0.05800485610961914,0.0
21,0.0,0.0,0.05801272392272949,0.0
22,0.00099945068359375,0.0,0.04601001739501953,0.0
23,0.0,0.0,0.052011966705322266,0.0
24,0.0,0.0,0.050011396408081055,0.0
25,0.0,0.0,0.04701995849609375,0.0
26,0.0,0.0,0.04600024223327637,0.0
27,0.0,0.0,0.04201006889343262,0.0
28,0.0010097026824951172,0.0,0.04500174522399902,0.0
29,0.00099945068359375,0.0,0.04300880432128906,0.0
30,0.0,0.0,0.039018869400024414,0.0
31,0.0,0.0,0.048003196716308594,0.0
32,0.0,0.0,0.04700946807861328,0.0
33,0.0,0.0,0.039017438888549805,0.0
34,0.0009906291961669922,0.0,0.041019439697265625,0.0
35,0.000989675521850586,0.0,0.044011592864990234,0.0
36,0.0,0.0,0.040007829666137695,0.0
37,0.0009999275207519531,0.0,0.04201078414916992,0.0
38,0.0,0.0,0.04100823402404785,0.0
39,0.0,0.0,0.04301905632019043,0.0
40,0.0009906291961669922,0.0,0.0400090217590332,0.0
41,0.0010004043579101562,0.0,0.04100966453552246,0.0
42,0.0010006427764892578,0.0,0.04301810264587402,0.0
43,0.0009918212890625,0.0,0.04300856590270996,0.0
44,0.0010004043579101562,0.0,0.04100942611694336,0.0
45,0.0,0.0,0.041010379791259766,0.0
